,Player,School,Conference,GP,Min%,ORTG,USG,EFG,OR%,DR%,AST%,TOV%,BLK%,STL%,FTR,Year,Height,DBPM
1,Jailyn Ingram,Georgia,SEC,24,19.6,91.2,19.5,44.4,2.3,13.8,12.9,17.9,0.8,1.9,18.8,Sr,7-Jun,-0.0198401
2,Deandre Dishman,Middle Tennessee,CUSA,31,68.6,102.8,24.4,50.6,10.3,15.3,16,19.1,2.5,2.4,42.9,Sr,6-Jun,0.525152
3,DeJuan Clayton,California,P12,9,22,84.6,21.9,38.1,1.2,6.1,21.9,14.9,0,1.1,12.4,Sr,2-Jun,-2.87725
4,Brevin Galloway,Clemson,ACC,32,68.2,108.6,20,53,1.1,8,14.7,16.1,0.8,1.8,31.3,Sr,2-Jun,1.15451
5,Michael Henn,Penn St.,B10,29,16.6,107.5,17.4,60.5,5.6,10.1,12.6,21.4,1.3,0.7,7,Sr,8-Jun,0.547902
6,David Maynard,The Citadel,SC,30,57.7,113.7,11.1,55.4,2.2,9.5,11.9,13.3,0.2,1.4,13.2,Sr,4-Jun,-1.04193
7,Andrew Platek,Siena,MAAC,32,66.9,108.4,18.5,57.9,1.4,9.7,11.7,16.5,0.6,1.9,16.5,Sr,4-Jun,-0.12111
8,Jack Perry,Portland,WCC,30,41.3,95.6,9.2,47.4,0.7,8.1,11.7,27.3,0,1.9,31.6,Sr,3-Jun,0.136442
9,Ra Kpedi,Fort Wayne,Horz,30,71,119.8,13.4,60,14.5,19.3,3.3,14.4,1.4,1,65.2,Sr,9-Jun,-1.27454
10,Emmanuel Akot,Western Kentucky,CUSA,29,69.2,95.9,20,45.8,2.9,11,13.8,16.3,0.9,1.2,23.3,Sr,8-Jun,-1.33746
11,Justice Sueing,Ohio St.,B10,35,75.2,103.9,24.1,46.3,6.8,13.2,11.5,15.3,1.5,1.5,32.5,Sr,6-Jun,-0.0563453
12,Kobe King,Valparaiso,MVC,31,87.2,95,26.3,44.9,4.4,9.5,10.6,13.5,0.9,1.1,30,Sr,4-Jun,-2.26956
13,Parker Stewart,Tennessee Martin,OVC,26,72.5,97.7,25,47.1,2.7,12.9,12,16.1,0.5,1.9,27.9,Sr,5-Jun,-2.49445
14,Marcus Carr,Texas,B12,38,84,113,23.1,51.2,1,9.3,22.5,11.5,0.2,2.7,28,Sr,2-Jun,2.69941
15,Jordan Davis,Jacksonville,ASun,26,83.7,99.5,17.5,50.8,2,15.1,11.9,18,1.7,2.5,26.8,Sr,3-Jun,1.3473
16,Terrence Lewis,Grambling St.,SWAC,2,2.6,94.7,21.6,65,0,3.5,0,34,0,3.7,20,Sr,6-Jun,-0.0203952
17,Luka Vasic,Texas A&M Commerce,Slnd,32,37.7,101.4,15.8,55.2,3,12.2,10.1,20.7,0.5,0.4,15.7,Sr,8-Jun,-2.85753
18,Nike Sibande,Pittsburgh,ACC,36,56.2,108.4,18.9,52.1,2.7,17.5,10.3,14.3,1.1,1.3,29.5,Sr,4-Jun,0.672809
19,Tydus Verhoeven,Northwestern,B10,34,39.2,114.2,10.1,54,8.7,10.7,8.2,18.2,5.1,1.8,33.3,Sr,9-Jun,3.71085
20,Eric Williams Jr.,San Diego,WCC,22,61.5,107.2,25.7,48.5,11.8,22.9,13.9,15.4,0.8,2,34.1,Sr,7-Jun,-2.21361
21,Darius McNeill,Troy,SB,25,40.9,100.9,17.2,47.5,2.1,8.5,21.9,20,1.4,2.4,25.2,Sr,3-Jun,0.9943
22,Bryan Trimble Jr.,Missouri St.,MVC,14,28,107.9,16.3,45,0.7,11.2,5.8,5.6,0.7,0.9,9.9,Sr,3-Jun,-0.594751
23,Marco Anthony,Utah,P12,29,70.5,103.5,19.2,46.1,8.6,14.2,13.4,15.2,0.9,1.5,47.4,Sr,6-Jun,1.78935
24,Nelly Cummings,Pittsburgh,ACC,36,80.7,109.3,20.4,50.2,1.1,7.6,27.7,19.4,0.1,1.4,23.2,Sr,Jun-00,-0.309855
25,Desmond Cambridge Jr.,Arizona St.,P12,34,67,105.2,24.2,48.9,3.3,9.9,17.7,12,2.1,3.4,15.5,Sr,4-Jun,2.87634
26,Ejike Obinna,Saint Joseph's,A10,27,45.8,114.1,17.6,68.2,10.3,17.2,3.5,19.3,2.2,0.9,64.4,Sr,10-Jun,-0.363038
27,Joe Quintana,Cal Baptist,WAC,28,53.8,98.8,19.9,41,1.2,7.4,12.4,8.2,1.1,1.9,26.4,Sr,2-Jun,0.823351
28,Jerald Gillens-Butler,Elon,CAA,17,37.2,87.9,21.2,42.8,2.1,10.5,12.4,17.2,1.4,1.8,26.8,Sr,5-Jun,-1.92511
29,Cooper Neese,Indiana St.,MVC,32,68.4,118,16.8,58.6,1.2,15.4,9.9,11.5,0.3,1.1,31,Sr,4-Jun,0.145874
30,Malek Green,Youngstown St.,Horz,32,71.4,112.5,23.5,54.4,9.1,21,7.3,11.7,1.6,1.4,33.8,Sr,7-Jun,-1.51353
31,Vin Baker Jr.,Milwaukee,Horz,24,12.3,81.6,14.7,53.6,5.2,11.9,3.4,31.6,2.1,0.7,42.9,Sr,9-Jun,-1.52314
32,Greg Elliott,Pittsburgh,ACC,36,73.1,121.9,14.9,57.8,1.3,13.7,7.2,11.2,0.7,1.5,29.5,Sr,3-Jun,1.24004
33,Makai Ashton-Langford,Boston College,ACC,31,71.2,99,24.2,46.7,2.6,10.8,19.1,18.1,2.6,2.8,24.3,Sr,3-Jun,1.31885
34,Walter Whyte,Boston University,Pat,30,75.8,104.5,25.3,48.1,6,17.9,7.7,13.4,2,1.5,28.1,Sr,6-Jun,-1.02546
35,Connor McCaffery,Iowa,B10,32,72.4,122.1,12.2,50.3,3.1,12.8,18.9,16.1,0,2.5,35.2,Sr,6-Jun,1.86433
36,Marquis Godwin,Hampton,CAA,31,86.6,105.3,15.7,53.6,0.3,8.5,3.8,10.8,0.4,0.7,5.4,Sr,5-Jun,-2.81016
37,Ricky Nelson,Prairie View A&M,SWAC,22,45.1,95.4,12,39.5,1,7,23.6,27.2,0,1.5,38.2,Sr,1-Jun,-0.642204
38,Will Douglas,Prairie View A&M,SWAC,29,66.4,98.6,30,46.1,5.2,15.7,18.9,18.9,0.4,2.6,35.6,Sr,5-Jun,0.404724
39,Justyn Mutts,Virginia Tech,ACC,33,80.5,110.9,24.1,58.7,7,19.1,26.8,21.1,2.6,2.6,30.7,Sr,7-Jun,2.67813
40,Sarju Patel,Albany,AE,29,66.8,104.9,15.5,48.3,4.9,12.2,8.2,11.2,0.3,1.5,19.4,Sr,3-Jun,-2.43799
41,Victor Enoh,UNC Wilmington,CAA,14,8.9,91.8,9.9,41.7,16.1,19.5,0,16.1,0,0,41.7,Sr,8-Jun,-2.17938
42,Jamal Johnson,Chattanooga,SC,32,77,114.3,20.9,56.6,3,13.9,8.4,14.1,1.6,1.9,35.7,Sr,4-Jun,-0.852301
43,Dan Akin,Utah St.,MWC,34,66.8,120.3,19.7,67.2,7.3,22.6,6.9,18.1,2.7,1.1,83.5,Sr,9-Jun,1.99218
44,Abayomi Iyiola,Kansas St.,B12,31,24,105.4,16.4,55.9,10.2,18.6,5.2,24.7,3.5,1.6,57.4,Sr,10-Jun,2.61534
45,Taylor Funk,Utah St.,MWC,34,76.2,114,20.3,56,5,15.6,11.2,12.9,2.5,1.7,13.7,Sr,9-Jun,1.59349
46,Hunter Maldonado,Wyoming,MWC,28,80.7,107.5,26.8,52.2,3.8,14,25.9,19.8,1,2.2,58.1,Sr,7-Jun,0.61169
47,Dwight Wilson III,Ohio,MAC,31,62,125.5,27.3,61.2,15.4,24.5,11.1,13.3,0.7,0.9,36.6,Sr,8-Jun,-1.62126
48,Chauncey Hawkins,Bryant,AE,12,13,105,15.9,45.9,1.6,8.8,17,12,2.2,3.8,29.7,Sr,8-May,2.59361
49,Caleb Daniels,Villanova,BE,34,83.6,105,24.5,48.8,2.3,14.2,16.6,13.5,0.5,1.8,26.4,Sr,4-Jun,0.717869
50,Buay Koka,Detroit,Horz,25,13.6,98.9,11.1,56,9.4,19.2,2,30.3,1.9,1,12,Sr,1-Jul,-1.28026
51,Felipe Haase,Southern Miss,SB,30,85.2,114.7,22.1,55.1,4.2,15.1,18.9,19.2,2.1,1.4,39.4,Sr,9-Jun,1.09158
52,Marcus Shaver Jr.,Boise St.,MWC,29,70.9,99.8,26.3,42,2.3,19.7,23.2,15.4,1,2.8,44.3,Sr,2-Jun,3.36201
53,Sam Iorio,Niagara,MAAC,29,64.3,117.1,16.8,51.7,8.8,18.1,10.3,11.2,2.4,1.7,35.1,Sr,7-Jun,0.153984
54,Devon Cooper,George Mason,A10,33,82.7,101.3,17.9,47.5,1.7,12.2,16.1,18.1,0.4,1.3,31,Sr,4-Jun,0.794517
55,Cam Martin,Kansas,B12,4,0.7,171.8,16.2,87.5,23.6,0,0,0,0,0,0,Sr,9-Jun,-0.265364
56,A.J. Oliver II,Detroit,Horz,28,56,125.1,16,55.9,8.5,13.2,5.4,13.3,0.2,1.6,26.7,Sr,5-Jun,-2.21933
57,Clifton Moore,Providence,BE,33,32.4,112.8,18.2,50.8,12.4,17.1,4.7,14,9.1,1.6,31.1,Sr,11-Jun,1.97571
58,Noah Baumann,Grand Canyon,WAC,33,52.9,122.7,15.5,59,3.2,14.4,5.6,12.7,0.9,1,30.1,Sr,6-Jun,-0.0677181
59,Jacob Grandison,Duke,ACC,36,39.2,116.3,14.7,51.8,3.2,11.2,14.7,14.7,0.4,1.5,13.1,Sr,6-Jun,2.12969
60,Cameron Christon,Grambling St.,SWAC,31,71.8,107.8,22.5,55,4.1,16.6,11.2,16.9,2,2.3,38.3,Sr,6-Jun,1.52053
61,Roman Penn,Drake,MVC,33,74.8,112,24.9,50,2.8,14.8,35.2,15.8,0.6,1.7,32.1,Sr,Jun-00,2.28628
62,Lewis Djonkam,Morgan St.,MEAC,26,53.6,99.7,18,51.3,8.2,9.2,10.8,16.8,2.5,2.3,31,Sr,9-Jun,0.0895583
63,David Jenkins Jr.,Purdue,B10,34,36.8,97.8,14.9,48.7,1.2,9,9.2,22,0,0.7,20.2,Sr,1-Jun,0.776645
64,Hayden Brown,South Carolina,SEC,31,72,98.1,22.5,47.8,6,12.9,9.9,18.4,1.4,2,33.2,Sr,5-Jun,0.175628
65,Greg Parham,South Alabama,SB,33,69.4,96.9,19.9,46.1,1.1,9.4,12.6,12.8,0.1,1.5,14,Sr,4-Jun,-0.022028
66,Bubba Parham,Samford,SC,28,75.1,114.1,16.9,53.9,2.7,9.6,16.5,18.9,0,2.2,40.8,Sr,11-May,-0.237218
67,Nigel Shadd,Delaware,CAA,16,5.3,71.2,13.6,55.6,1.7,38.5,0,31.7,7.8,0.9,88.9,Sr,9-Jun,1.57297
68,Ledarrius Brewer,UAB,CUSA,33,43.2,104.8,16.8,47.9,3.4,12.9,11.1,14.4,1.3,2.4,10.8,Sr,5-Jun,1.7087
69,Samuta Avea,Hawaii,BW,32,74.9,98.2,20.4,47.6,4.8,14.3,7.6,18.2,2.1,1.2,23.7,Sr,6-Jun,1.17074
70,Kris Bankston,Norfolk St.,MEAC,28,72.1,123.8,20.4,67.4,9.5,17.4,6.8,17.6,6.1,1.8,54.5,Sr,9-Jun,0.0614321
71,Umoja Gibson,DePaul,BE,33,84.6,110.9,24.2,53.7,1.9,7.3,28.5,17.8,0.5,3.1,28.5,Sr,1-Jun,0.486785
72,Souley Boum,Xavier,BE,37,87.9,119.2,21.1,53.2,1.3,12.2,20,14.1,0.4,1.6,42.1,Sr,3-Jun,0.886914
73,Derrick Walker,Nebraska,B10,27,63.8,100.9,27.8,58.5,8.1,18.4,29,24.8,2.7,1.4,26,Sr,9-Jun,1.97143
74,Isaac Kante,Massachusetts,A10,31,48.9,115.2,16.8,54.7,9.6,12.1,7.9,17.2,1.3,0.8,55.4,Sr,8-Jun,-0.409608
75,Antwan Walker,Bryant,AE,28,66,107.5,23.2,57.6,7.7,22.3,10.1,19.4,4.2,0.9,17.3,Sr,8-Jun,-0.345467
76,A.J. Caldwell,Chattanooga,SC,32,71.4,113.1,11.6,53.4,2.7,14.9,14,15.4,1.3,1.4,14.2,Sr,5-Jun,-0.101965
77,Galen Alexander,Texas Southern,SWAC,2,0.1,0,19.4,0,0,58.6,0,0,0,0,0,Sr,6-Jun,-6.19813
78,Dedric Boyd,Tennessee St.,OVC,27,60.4,114.3,16,57.5,1.3,9.8,2,9.1,0.6,1.2,9.3,Sr,4-Jun,-1.5587
79,Donald Carey,Maryland,B10,35,62,107.5,15.8,51.1,1.7,7.7,8.7,14.8,0.4,1.3,18.2,Sr,5-Jun,0.948422
80,Bobby Planutis,Fort Wayne,Horz,30,77.5,116.6,15.1,58.7,1.6,14.7,6.3,14.6,0.6,1.5,20.2,Sr,8-Jun,0.162779
81,Jarkel Joiner,North Carolina St.,ACC,34,89.4,116.3,23.1,49.5,2.2,13.2,18.2,10,0.3,2.1,29.1,Sr,1-Jun,0.813054
82,Chuck O'Bannon Jr.,TCU,B12,35,54.4,111.4,17.6,47,7.5,10.1,8,9.2,4.7,2.1,31.2,Sr,6-Jun,2.42536
83,Garrett Covington,Youngstown St.,Horz,26,29.2,112.8,13.4,53.9,3.9,7.2,9.4,18.3,0.5,0.9,19.5,Sr,5-Jun,-1.83045
84,Jarvis Doles,UMBC,AE,31,52.4,104.3,21.6,49.3,7.7,17.7,10.2,13.3,2.6,1.7,22.6,Sr,8-Jun,-1.06754
85,Takal Molson,James Madison,SB,30,65.7,100.9,23.9,46.4,4.5,18,16.5,18.3,0.4,3,45.3,Sr,4-Jun,1.87516
86,Jack Nunge,Xavier,BE,37,73.1,120.2,21.9,56.7,11.4,18.8,12.6,11.2,3.9,1.7,32,Sr,Jul-00,1.58484
87,Miryne Thomas,Kent St.,MAC,33,68.2,109.8,18.9,51.4,6.7,16.3,5.3,13.5,2.7,2.5,28,Sr,8-Jun,1.73754
88,Oliver Lynch-Daniels,Colgate,Pat,32,74.4,120.1,16.4,65.6,1.5,11.3,11.4,15.6,0.3,1.7,8.6,Sr,2-Jun,-1.03091
89,Keaton Hervey,Oakland,Horz,31,82.1,115.8,16.7,53.7,6.5,18.1,5.1,10.7,1.2,0.9,39.3,Sr,4-Jun,-2.30098
90,Tyree Appleby,Wake Forest,ACC,33,91.1,112,28.7,51.5,1.4,9.4,34.6,18.6,0.2,2.7,48.4,Sr,1-Jun,0.751764
91,Jason Whitens,Michigan St.,B10,19,5.7,119.1,6.3,66.7,6.4,8.8,4.4,24.9,0,2.4,0,Sr,6-Jun,1.7953
92,Marek Nelson,Nicholls St.,Slnd,27,55.7,101.9,20.5,53.8,7.1,12.2,11.2,21.2,2.6,3,37,Sr,7-Jun,0.231527
93,Brion Whitley,Southern,SWAC,30,70,88.6,22.8,45.7,2.9,9.9,7.2,18.1,1.6,2.4,20.2,Sr,4-Jun,-0.668267
94,Jamir Moultrie,Canisius,MAAC,23,43.6,99.1,21.9,48,0.7,3.8,10.2,14.2,0.2,1.1,16.3,Sr,1-Jun,-2.28978
95,Victor Bailey Jr.,George Mason,A10,24,57.1,113.2,17,58.7,1.1,10.5,10.5,15.6,0.6,0.7,24.6,Sr,4-Jun,-0.0136784
96,James Beck,New Mexico St.,WAC,21,43.8,91.9,11.4,51.9,4.6,12.8,2.9,25.6,2.8,1.8,37,Sr,8-Jun,0.557186
97,Cam Bacote,Western Carolina,SC,5,3.2,71.4,9.6,33.3,0,2.9,17,45,0,0,33.3,Sr,3-Jun,-4.24049
98,Virshon Cotton,Grambling St.,SWAC,28,56,87.5,20.9,42.4,2.1,10.1,15.8,25,0.2,2,32.3,Sr,2-Jun,-0.559488
99,Kevion Nolan,Jacksonville,ASun,26,81.2,99.2,27.7,48.7,1.3,12.9,30.7,19.5,1.2,2,19.7,Sr,2-Jun,-0.403897
100,Javan Johnson,DePaul,BE,33,88.7,102.6,20.6,52.9,2.6,11.2,14,16.9,2.5,1.2,15,Sr,6-Jun,-0.565113
101,Tyreke Key,Tennessee,SEC,33,55.3,102.1,18.9,43.8,3.4,8.6,10.5,14.6,0.2,1.7,33.6,Sr,2-Jun,1.81368
