"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm","X","School","Conference","GP","Min.","ORTG","USG","EFG","OR.","DR.","AST.","TOV.","BLK.","STL.","FTR","Year","Height","DBPM"
"1","Aanen Moody","North Dakota","Sum",8.4,87.4,20.9,51.5,1.2,11.4,8.2,24.1,0,1.7,8.8,"So","3-Jun","Southern Utah",-1.98696,1311,"Southern Utah","BSky",16,27.8,121.3,13.8,57.3,0.5,9.7,7,5.8,1,1.9,6.5,"Jr","3-Jun",-0.606776
"2","Aaron Cook","Southern Illinois","MVC",13.2,105.3,26.3,59.8,0.8,7.5,27.2,17.4,0.7,6.8,39.3,"Sr","2-Jun","Gonzaga",6.27167,287,"Gonzaga","WCC",30,31.4,106,17.5,57.8,2.2,11.2,17.3,25.7,1,3.5,38.9,"Sr","1-Jun",3.75484
"3","Abayomi Iyiola","Stetson","ASun",58.2,104.8,24.1,48.3,12.1,24.3,4.4,11.7,6.2,2.3,31.3,"So","9-Jun","Arkansas",-0.858059,505,"Arkansas","SEC",1,0.1,0,0,0,0,106.3,0,0,0,0,0,"Jr","9-Jun",5.47008
"4","Abdul Mohamed","North Texas","CUSA",4.5,94.6,13.8,44.4,8,14.6,3.4,17.4,4.8,2.4,44.4,"Jr","7-Jun","Montana St.",0.367588,1798,"Montana St.","BSky",21,54.6,102.9,18.1,53.4,6.4,26.4,10,21.3,1.2,1.7,49,"Sr","7-Jun",0.524426
"5","Adam Flagler","Presbyterian","BSth",79.8,112,22.7,55.2,2.7,10.3,8.1,10.2,0.9,1.5,19.3,"Fr","3-Jun","Baylor",-1.9266,1580,"Baylor","B12",28,53.4,130.2,16.4,57.8,4.6,7.3,9.9,11.5,0.2,2.2,25.4,"So","3-Jun",1.89384
"6","Ahmed Ali","Washington St.","P12",53,107.5,20,48.3,3.1,6.8,25.2,16.1,0.2,1.9,22.5,"Jr","11-May","Portland",-1.77734,1854,"Portland","WCC",14,59.2,106,29.1,53,3.2,6.8,26.6,18.1,0,1.7,46.2,"Sr","11-May",-2.85708
"7","Ahsante Shivers","Siena","MAAC",60.1,90.9,21.7,42.7,5.5,13.1,11.5,22,0.8,1.3,38.6,"So","4-Jun","Southern",-1.47419,134,"Southern","SWAC",10,36.9,89.6,19.8,43.2,2.1,12.4,9.4,16.7,1.1,2.9,28.4,"Sr","4-Jun",0.084434
"8","Ajani Kennedy","UC Riverside","BW",33.3,104.7,19.3,59,7.2,18.8,8.3,21,0.6,1.2,18.9,"So","8-Jun","Tennessee Martin",-2.41617,776,"Tennessee Martin","OVC",23,64.6,88.6,17.5,46.3,5.6,16.3,9,23.3,1.7,1.6,24.8,"Jr","9-Jun",-2.18199
"9","Ajare Sanni","Pacific","WCC",31.2,101.5,22.4,47.2,1.3,7.7,13.8,10,0.4,1.9,22.7,"Fr","2-Jun","UC Santa Barbara",-0.990544,1329,"UC Santa Barbara","BW",23,55.5,104.7,23.6,50,2.1,11.8,13.7,14.1,0,1.6,29.1,"So","3-Jun",-0.738003
"10","Alan Griffin","Illinois","B10",41.8,128.9,20.7,61.5,11.2,17.1,7.6,12.6,1.2,1.5,20.2,"So","5-Jun","Syracuse",1.56641,1750,"Syracuse","ACC",28,72.8,106,23.5,52.3,6.3,15.2,12.2,17.8,6.6,2.3,19,"Jr","5-Jun",2.04552
"11","Alex Rivera","UMass Lowell","AE",58.1,104.4,18,52.1,2.8,11.4,11,14.7,0.5,1.6,20.8,"Fr","1-Jun","LIU Brooklyn",-2.05296,1691,"LIU Brooklyn","NEC",18,71,107.4,14.8,51.1,3.7,7.8,11.2,15.5,1.2,1.2,21.9,"So","1-Jun",-0.805357
"12","Alonde LeGrand","Detroit","Horz",40.1,74.3,9.6,37.8,3,13.5,12.4,40.6,1.1,2,31.1,"So","7-Jun","North Florida",-0.0550123,2464,"North Florida","ASun",12,12.7,52,12.3,29.2,3.4,11.5,8.1,40.1,0,2.2,41.7,"Jr","7-Jun",-2.10775
"13","Alterique Gilbert","Connecticut","Amer",63.8,92.4,21.6,41.6,1.8,9.1,27.3,23,0.4,2.3,32.5,"Jr","Jun-00","Wichita St.",0.515102,285,"Wichita St.","Amer",20,75.9,93.6,23.7,41.6,1,9.4,30.8,19.3,0.4,2.8,29.3,"Sr","Jun-00",1.06043
"14","Amanze Ngumezi","Georgia","SEC",7.5,93.3,22,47.1,4.7,11.5,6.3,15.9,6.4,0.6,31.4,"So","9-Jun","Jacksonville St.",-0.878762,1363,"Jacksonville St.","OVC",23,38.1,108.8,25.2,56.5,9.2,13.6,9.1,18.7,4.4,0.6,29.9,"Jr","9-Jun",-0.697417
