,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school
1,Josh Ayeni,St. Bonaventure,A10,24,25.4,94,21.9,44.6,46.97,10.1,11.9,4.1,15.7,20,32,0.625,52,116,0.448,1,4,0.25,1.1,0.8,26.7,So,8-Jun,33,0.465039,2018,47026,South Alabama
2,Justice Bartley,Virginia,ACC,10,1.6,98.9,18.6,50,50.42,11.9,11.3,0,16.2,1,2,0.5,1,3,0.333,1,2,0.5,0,0,40,Jr,5-Jun,2,0.0802515,2018,41849,Maryland Eastern Shore
3,Devine Eke,Rider,MAAC,31,28.8,97.8,17.9,62.2,53.27,9.2,15.9,8.2,17.5,20,67,0.299,47,73,0.644,1,5,0.2,4.8,3.8,85.9,Jr,8-Jun,11,0.23389,2019,48260,Radford
4,Troy Simons,New Mexico,MWC,28,49.5,106.5,20.4,49.1,52.2,5.2,10,11.2,11.9,39,50,0.78,39,92,0.424,50,140,0.357,0.8,3.9,21.6,Jr,3-Jun,31,1.77482,2018,51925,Kent St.
5,Jerry Johnson Jr.,Chattanooga,SC,28,62,99.7,22.2,48,50.58,2.4,12.4,18.7,16,35,46,0.761,43,102,0.422,51,147,0.347,0,1.5,18.5,Jr,1-Jun,2,1.33772,2019,47827,Arkansas St.
6,Juwan Gray,San Diego,WCC,33,50.1,111.5,15.1,54.5,57.06,5.4,13.7,6.1,10.7,40,60,0.667,55,95,0.579,16,50,0.32,3.8,1.3,41.4,So,8-Jun,12,1.17359,2018,48179,Towson
7,Josh Mballa,Texas Tech,B12,17,3.7,78.8,18.1,44.4,41.53,4.5,5.9,6.1,17.4,5,14,0.357,4,8,0.5,0,1,0,4.4,2.1,155.6,Fr,7-Jun,35,-0.0976938,2019,65564,Buffalo
8,Micah Potter,Ohio St.,B10,29,21.2,117.6,20.6,52.2,56.59,13.2,15.5,6.3,11.7,24,30,0.8,38,70,0.543,6,20,0.3,4.4,1,33.3,So,9-Jun,0,1.26027,2018,47329,Wisconsin
9,Ty Taylor,UNC Wilmington,CAA,32,35,90.2,21.6,43.3,45.22,3,15.3,13.2,18,25,44,0.568,27,68,0.397,27,88,0.307,1.3,1.4,28.2,Jr,3-Jun,21,0.149697,2019,39366,Eastern Kentucky
10,Tyson Batiste,Central Connecticut,NEC,29,63.5,92.9,11.2,51.6,49.86,2.4,8.2,19.1,28.6,10,28,0.357,40,79,0.506,6,16,0.375,1.4,1.5,29.5,Jr,2-Jun,13,-0.71558,2019,49450,The Citadel
11,Matt Hein,Illinois St.,MVC,18,21.2,71.6,12.1,27.6,31.8,0.4,10.8,17.1,24.8,8,16,0.5,6,17,0.353,3,21,0.143,0.4,2.6,42.1,Jr,3-Jun,5,-1.22534,2019,40103,Siena
12,Curtis Cobb,Massachusetts,A10,23,45.2,97.1,19.8,47.6,48.04,2,14.2,19.2,17.8,13,25,0.52,42,91,0.462,32,98,0.327,0,2.3,13.2,Jr,4-Jun,33,1.02456,2019,43570,Wagner
13,Ralueke Orizu,Savannah St.,MEAC,24,22.6,95.2,15.2,54.1,55.09,7.5,17,1.8,23,19,34,0.559,33,60,0.55,0,1,0,5,1.2,55.7,Fr,8-Jun,2,0.0155362,2018,50951,Eastern Washington
14,Ibrahim Famouke Doumbia,South Carolina,SEC,11,2.7,86.7,13.6,33.3,36.7,3.1,13.8,0,0,2,4,0.5,3,7,0.429,0,2,0,0,1.6,44.4,Fr,6-Jun,14,-0.0590177,2018,50854,UCF
15,Chad Lott,Howard,MEAC,27,66.9,95.4,25,49.8,52.43,4.9,12.8,14.4,21.4,60,87,0.69,141,292,0.483,13,30,0.433,2.4,1.3,27,Jr,4-Jun,21,1.16556,2019,40718,South Alabama
