,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,threePM,threePA,threeP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, bpm, obpm, dbpm
1,Adam Flagler,Presbyterian,BSth,33,79.8,112,22.7,55.2,57.98,2.7,10.3,8.1,10.2,69,82,0.841,83,161,0.516,101,264,0.383,0.9,1.5,19.3,Fr,3-Jun,10,2.75598,2019,66438,Baylor,1.07139796,51,79,32,82,0.64556962,0.390243902,0,0,0,1.88766,1.91991,3.84651,-1.9266
2,Hunter Crist,Green Bay,Horz,29,22,100.3,11.6,37.9,47.41,2,10.1,19.3,21.9,18,26,0.692,8,18,0.444,3,15,0.2,0,1.6,78.8,Jr,3-Jun,30,0.0499453,2020,51273,Binghamton,2.764587892,4,8,4,10,0.5,0.4,0,0,0,0.496632,-4.71325,-3.67238,-1.04087
3,Bernie Andre,Northern Arizona,BSky,28,70,102.6,22.1,51.2,53.79,6.9,21.1,7.5,15.8,51,73,0.699,79,157,0.503,36,103,0.35,1.2,1.7,28.1,Jr,6-Jun,10,1.76372,2020,67538,Vermont,0.7083125,58,97,21,60,0.597938144,0.35,0,0,0,2.14499,-0.957659,0.586249,-1.54391
4,Gregory Hammond,Rhode Island,A10,5,1.1,118.3,19.1,50,63.29,0,24.8,27,22.3,2,2,1,0,0,0,1,3,0.333,0,0,66.7,Fr,5-Jun,22,0.296209,2020,70462,UMass Lowell,2,0,0,0,0,0,0,0,0,0,0.334674,-0.460929,-2.17191,1.71098
5,Kenny Cooper,Lipscomb,ASun,34,66,100.6,22.5,49.7,51.84,2.7,11.6,28.8,21.2,56,88,0.636,97,204,0.475,31,85,0.365,0.8,3.6,30.4,Jr,Jun-00,21,1.60688,2019,45823,Western Kentucky,1.963385723,76,145,21,59,0.524137931,0.355932203,0,0,0,3.29053,2.6203,-0.138663,2.75896
6,Axel Okongo,Missouri,SEC,8,2.4,117.7,6.8,100,84.75,3.9,4,0,29.1,1,2,0.5,2,2,1,0,0,0,4.2,0,100,Jr,Jul-00,15,0.20881,2020,71347,Eastern Michigan,0,2,2,0,0,1,0,1,1,1,0.37852,-2.76734,-3.3409,0.573553
7,Sean East II,Massachusetts,A10,31,69.8,95.6,23.7,44.7,48.58,2.8,7.7,36.1,23.2,50,64,0.781,80,185,0.432,26,81,0.321,0.1,2.3,24.1,Fr,3-Jun,10,1.73817,2020,71284,Bradley,1.843392844,56,112,24,73,0.5,0.328767123,0,0,0,2.33918,-1.54479,-0.199681,-1.34511
8,P.J. Horne,Virginia Tech,ACC,32,68.5,100.5,14,55.6,55.9,3.2,13.9,2.5,14,13,22,0.591,47,77,0.61,45,129,0.349,2.9,1.5,10.7,Jr,6-Jun,14,0.91907,2020,50476,Georgia,0.379386449,31,42,16,35,0.738095238,0.457142857,6,7,0.857142857,3.00167,0.447648,-0.829172,1.27682
9,Chevez Goodwin,Wofford,SC,33,54.1,115.3,27,63.8,62.04,14.1,22.9,10,14.6,59,116,0.509,166,259,0.641,0,1,0,6.6,0.8,44.6,Jr,9-Jun,1,2.93012,2020,46358,USC,0.581837852,116,172,44,79,0.674418605,0.556962025,33,33,1,2.04012,3.49943,3.23909,0.260337
10,Ben Coupet Jr.,UNLV,MWC,9,3,85.3,22.4,40,48.78,5.7,30,5,27.2,5,7,0.714,4,5,0.8,0,5,0,8.3,3.1,70,So,7-Jun,2,-0.0122062,2019,45818,Little Rock,0.25,4,5,0,0,0.8,0,0,0,0,0.526817,-3.59134,-6.30825,2.71691
