"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"1","Josh Ayeni","St. Bonaventure","A10","24","25.4","94","21.9","44.6","46.97","10.1","11.9","4.1","15.7","20","32","0.625","52","116","0.448","1","4","0.25","1.1","0.8","26.7","So","6-8","33","0.465039","96.6673","8.4","2018","47026","all","South Alabama","0","0","0","0","0","0","0","0","0","0","0","0","103.548","1.30799","0","-6.27903","-3.93197","-2.34706","-5.873"
"2","Justice Bartley","Virginia","ACC","10","1.6","98.9","18.6","50","50.42","11.9","11.3","0","16.2","1","2","0.5","1","3","0.333","1","2","0.5","0","0","40","Jr","6-5","2","0.0802515","97.9684","1.8","2018","41849","all","Maryland Eastern Shore","0","0","0","0","0","0","0","0","0","0","0","0","93.5924","0.273783","0","-5.90809","-2.21852","-3.68957","-2.793"
"3","Devine Eke","Rider","MAAC","31","28.8","97.8","17.9","62.2","53.27","9.2","15.9","8.2","17.5","20","67","0.299","47","73","0.644","1","5","0.2","4.8","3.8","85.9","Jr","6-8","11","0.23389","92.28","6.8","2019","48260","all","Radford","0","0","0","0","0","0","0","0","0","0","0","0","99.2903","1.16652","0","1.0782","-1.61841","2.69661","-0.075"
"4","Troy Simons","New Mexico","MWC","28","49.5","106.5","20.4","49.1","52.2","5.2","10","11.2","11.9","39","50","0.78","39","92","0.424","50","140","0.357","0.8","3.9","21.6","Jr","6-3","31","1.77482","109.385","4","2018","51925","all","Kent St.","0","0","0","0","0","0","0","0","0","0","0","0","102.623","2.17177","0","3.90681","3.35394","0.552876","3.024"
"5","Jerry Johnson Jr.","Chattanooga","SC","28","62","99.7","22.2","48","50.58","2.4","12.4","18.7","16","35","46","0.761","43","102","0.422","51","147","0.347","0","1.5","18.5","Jr","6-1","2","1.33772","101.453","3.2","2019","47827","all","Arkansas St.","0","0","0","0","0","0","0","0","0","0","0","0","110.278","1.61753","0","-0.969222","0.83052","-1.79974","-0.54"
"6","Juwan Gray","San Diego","WCC","33","50.1","111.5","15.1","54.5","57.06","5.4","13.7","6.1","10.7","40","60","0.667","55","95","0.579","16","50","0.32","3.8","1.3","41.4","So","6-8","12","1.17359","104.341","3.7","2018","48179","all","Towson","0","0","0","0","0","0","0","0","0","0","0","0","99.1025","2.1097","0","1.39088","-0.273039","1.66392","1.459"
"7","Josh Mballa","Texas Tech","B12","17","3.7","78.8","18.1","44.4","41.53","4.5","5.9","6.1","17.4","5","14","0.357","4","8","0.5","0","1","0","4.4","2.1","155.6","Fr","6-7","35","-0.0976938","78.0394","4.2","2019","65564","all","Buffalo","0","0","0","0","0","0","0","0","0","0","0","0","90.4774","0.441639","0","0.117297","-3.34987","3.46717","1.073"
"8","Micah Potter","Ohio St.","B10","29","21.2","117.6","20.6","52.2","56.59","13.2","15.5","6.3","11.7","24","30","0.8","38","70","0.543","6","20","0.3","4.4","1","33.3","So","6-9","0","1.26027","123.993","5.3","2018","47329","all","Wisconsin","0","0","0","0","0","0","0","0","0","0","0","0","94.2818","1.21327","0","4.39229","2.90733","1.48496","3.578"
"9","Ty Taylor","UNC Wilmington","CAA","32","35","90.2","21.6","43.3","45.22","3","15.3","13.2","18","25","44","0.568","27","68","0.397","27","88","0.307","1.3","1.4","28.2","Jr","6-3","21","0.149697","89.5193","2.8","2019","39366","all","Eastern Kentucky","0","0","0","0","0","0","0","0","0","0","0","0","113.676","0.716677","0","-3.93789","-2.01431","-1.92359","-2.91"
"10","Tyson Batiste","Central Connecticut","NEC","29","63.5","92.9","11.2","51.6","49.86","2.4","8.2","19.1","28.6","10","28","0.357","40","79","0.506","6","16","0.375","1.4","1.5","29.5","Jr","6-2","13","-0.71558","78.314","4.5","2019","49450","all","The Citadel","0","0","0","0","0","0","0","0","0","0","0","0","115.097","1.17519","0","-4.70108","-3.15493","-1.54615","-5.497"
"11","Matt Hein","Illinois St.","MVC","18","21.2","71.6","12.1","27.6","31.8","0.4","10.8","17.1","24.8","8","16","0.5","6","17","0.353","3","21","0.143","0.4","2.6","42.1","Jr","6-3","5","-1.22534","63.0772","5","2019","40103","all","Siena","0","0","0","0","0","0","0","0","0","0","0","0","104.199","1.27139","0","-4.67084","-4.67715","0.006301","-5.503"
"12","Curtis Cobb","Massachusetts","A10","23","45.2","97.1","19.8","47.6","48.04","2","14.2","19.2","17.8","13","25","0.52","42","91","0.462","32","98","0.327","0","2.3","13.2","Jr","6-4","33","1.02456","98.0845","2.3","2019","43570","all","Wagner","0","0","0","0","0","0","0","0","0","0","0","0","107.409","1.8495","0","-1.45239","-0.248868","-1.20352","-0.183"
"13","Ralueke Orizu","Savannah St.","MEAC","24","22.6","95.2","15.2","54.1","55.09","7.5","17","1.8","23","19","34","0.559","33","60","0.55","0","1","0","5","1.2","55.7","Fr","6-8","2","0.0155362","87.8543","5.3","2018","50951","all","Eastern Washington","0","0","0","0","0","0","0","0","0","0","0","0","112.757","0.651354","0","-6.93573","-5.87576","-1.05997","-5.397"
"14","Ibrahim Famouke Doumbia","South Carolina","SEC","11","2.7","86.7","13.6","33.3","36.7","3.1","13.8","0","0","2","4","0.5","3","7","0.429","0","2","0","0","1.6","44.4","Fr","6-6","14","-0.0590177","82.1106","8","2018","50854","all","UCF","0","0","0","0","0","0","0","0","0","0","0","0","98.0163","0.347123","0","-6.74297","-4.62975","-2.11322","-3.212"
"15","Chad Lott","Howard","MEAC","27","66.9","95.4","25","49.8","52.43","4.9","12.8","14.4","21.4","60","87","0.69","141","292","0.483","13","30","0.433","2.4","1.3","27","Jr","6-4","21","1.16556","97.3849","3.1","2019","40718","all","South Alabama","0","0","0","0","0","0","0","0","0","0","0","0","116.79","1.23978","0","-4.1441","-2.2177","-1.9264","-3.213"
"16","Jalen Johnson","Saint Louis","A10","32","68.2","109.1","16.3","52.6","57.42","3.9","13.2","5.1","17.1","66","84","0.786","37","82","0.451","49","128","0.383","2.7","0.8","40","So","6-7","20","1.55124","103.85","3.4","2018","45313","all","Louisiana Lafayette","0","0","0","0","0","0","0","0","0","0","0","0","101.596","2.63616","0","-0.122745","-0.150727","0.0279819","0.569"
"17","Chris Clarke","Virginia Tech","ACC","33","61","107","19.9","61.4","62.57","5.4","24.3","21","26.4","53","82","0.646","87","143","0.608","14","33","0.424","0.6","2.2","46.6","Jr","6-6","15","1.94026","110.382","2.7","2018","40845","all","Texas Tech","0","0","0","0","0","0","0","0","0","0","0","0","93.9073","3.00854","0","5.46783","1.53319","3.93464","4.604"
"18","Prentiss Nixon","Colorado St.","MWC","26","66.2","100.4","25.5","44.5","50.54","1","10.5","12.9","14.4","100","119","0.84","64","164","0.39","63","192","0.328","0.1","2.6","33.4","Jr","6-2","11","2.40199","109.218","3.4","2018","38713","all","Iowa St.","0","0","0","0","0","0","0","0","0","0","0","0","107.538","2.41922","0","-1.29264","0.952881","-2.24552","0.313"
"19","Marcus Burk","Campbell","BSth","30","78.7","114.6","19.9","60.2","62.47","2.7","11.1","6.9","12.3","49","58","0.845","73","117","0.624","81","206","0.393","0.9","2.3","18","So","6-3","34","2.72736","111.619","2.2","2018","46998","all","IUPUI","0","0","0","0","0","0","0","0","0","0","0","0","111.49","2.02791","0","0.12747","2.7278","-2.60033","1.058"
"20","Don Coleman","California","P12","29","73.2","95.2","26.2","36.5","44.77","3.6","7.4","13.4","13.7","144","193","0.746","99","271","0.365","25","103","0.243","0.1","2.6","51.6","Jr","6-3","14","1.76272","103.697","2.9","2018","44421","all","South Alabama","0","0","0","0","0","0","0","0","0","0","0","0","107.586","2.37368","0","-3.22989","-1.00271","-2.22718","-1.81"
"21","Roman Penn","Siena","MAAC","23","56","109.5","17.9","48.2","55.46","6","11.9","19.5","20.2","65","78","0.833","43","93","0.462","24","71","0.338","0.8","2.3","47.6","Fr","5-11","20","1.81728","104.131","3.7","2018","50994","all","Drake","0","0","0","0","0","0","0","0","0","0","0","0","108.363","2.29883","0","1.83954","1.53505","0.304489","0.483"
"22","Khadim Gueye","South Carolina","SEC","16","6.1","28.9","6.1","0","0","6.9","9.2","0","59.6","0","2","0","0","2","0","0","0","0","1.5","0.7","100","So","7-0","12","-1.12686","21.6853","7.1","2018","46311","all","Akron","0","0","0","0","0","0","0","0","0","0","0","0","98.5497","0.529521","0","-6.17931","-7.17789","0.998579","-8.423"
"23","Chance McSpadden","UCF","Amer","7","3.7","69.1","15.1","35.7","30.46","7.5","21.3","10.6","24","1","6","0.167","1","3","0.333","1","4","0.25","0","1.2","85.7","Jr","6-4","22","-0.556017","63.5454","4.1","2019","43693","all","Stetson","0","0","0","0","0","0","0","0","0","0","0","0","97.4099","0.753629","0","-1.6672","-3.07965","1.41245","-4.498"
"24","Jordan Ash","Northwestern","B10","10","5.9","64.7","13.7","22.7","27.13","0","10.8","24.2","28.8","2","4","0.5","1","5","0.2","1","6","0.167","0","4.7","36.4","Sr","6-3","23","-0.722844","59.0266","3.7","2019","39483","all","Wright St.","0","0","0","0","0","0","0","0","0","0","0","0","93.8834","0.911226","0","-3.07797","-5.90134","2.82336","-1.272"
"25","Jack Wilson","Oregon St.","P12","7","1.5","18.4","10.3","0","0","6.5","0","0","30.3","0","0","0","0","3","0","0","0","0","0","0","0","Fr","7-0","14","-0.681203","14.1107","8.4","2019","65935","all","Idaho","0","0","0","0","0","0","0","0","0","0","0","0","116.823","0.109382","0","-14.1047","-8.99492","-5.10981","-18.491"
"26","Justin Roberts","DePaul","BE","30","36.4","85.5","20.5","42.2","44.49","1.9","7.4","25.1","27.1","15","21","0.714","39","98","0.398","12","37","0.324","0.8","1.9","15.6","Fr","6-0","0","0.0882476","89.1472","2.6","2018","50821","all","Georgia St.","0","0","0","0","0","0","0","0","0","0","0","0","100.477","1.51211","0","-3.79801","-3.81598","0.017968","-2.384"
"27","Trey Woodbury","UNLV","MWC","22","11.1","71.2","16.3","38.9","39.09","0.8","11.5","6.5","28.1","2","5","0.4","5","15","0.333","6","21","0.286","1.5","4.2","13.9","Fr","6-4","22","-0.409271","67.6625","5.5","2019","65811","all","Utah Valley","0","0","0","0","0","0","0","0","0","0","0","0","99.5049","0.630708","0","-3.27937","-4.93704","1.65767","-4.549"
"28","Justin Roberts","Toledo","MAC","31","20.2","127.2","11.4","60.7","63.9","0.4","7.1","16.1","15","13","17","0.765","3","11","0.273","15","31","0.484","0","0.2","40.5","So","5-10","5","0.704764","111.037","3.7","2018","47913","all","Niagara","0","0","0","0","0","0","0","0","0","0","0","0","113.743","0.469611","0","-2.63083","1.26848","-3.89931","-1.608"
"29","Andre Fox","High Point","BSth","26","71.2","107.6","25.8","54.6","58.18","1.7","18.6","9.2","16.6","87","119","0.731","83","170","0.488","52","125","0.416","1.3","2.5","40.3","Jr","6-4","22","2.52759","112.074","3.2","2018","41223","all","South Alabama","0","0","0","0","0","0","0","0","0","0","0","0","103.039","2.71233","0","0.185382","0.838673","-0.653292","2.731"
