"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66"
"1","Adam Flagler","Presbyterian","BSth","33","79.8","112","22.7","55.2","57.98","2.7","10.3","8.1","10.2","69","82","0.841","83","161","0.516","101","264","0.383","0.9","1.5","19.3","Fr","6-3","10","2.75598","112.325","2.2","2019","66438","all","Baylor","1.07139796005828","51","79","32","82","0.645569620253165","0.390243902439024","0","0","0","0","0","112.426","1.88766","0","0.171035","2.83678","-2.66575","1.91991","30.6944","3.84651","-1.9266","0.75","2.6389","3.3889","1.25","0.7778","0.25","15.8611","","14.5995"
"2","Hunter Crist","Green Bay","Horz","29","22","100.3","11.6","37.9","47.41","2","10.1","19.3","21.9","18","26","0.692","8","18","0.444","3","15","0.2","0","1.6","78.8","Jr","6-3","30","0.0499453","86.8729","5.5","2020","51273","all","Binghamton","2.7645878920496","4","8","4","10","0.5","0.4","0","0","0","0","0","112.108","0.496632","0","-4.5378","-1.66447","-2.87333","-4.71325","10.8065","-3.67238","-1.04087","0.2258","1.0323","1.2581","1.5161","0.4516","0","1.9677","","2.93336"
"3","Bernie Andre","Northern Arizona","BSky","28","70","102.6","22.1","51.2","53.79","6.9","21.1","7.5","15.8","51","73","0.699","79","157","0.503","36","103","0.35","1.2","1.7","28.1","Jr","6-6","10","1.76372","103.482","3.7","2020","67538","all","Vermont","0.7083125","58","97","21","60","0.597938144329897","0.35","0","0","0","0","0","105.278","2.14499","0","-1.8452","-0.0590903","-1.78611","-0.957659","27.7","0.586249","-1.54391","1.7333","4.8","6.5333","1.1333","0.8","0.2667","11.1667","","7.78933"
"4","Gregory Hammond","Rhode Island","A10","5","1.1","118.3","19.1","50","63.29","0","24.8","27","22.3","2","2","1","0","0","0","1","3","0.333","0","0","66.7","Fr","6-5","22","0.296209","118.173","9.2","2020","70462","all","UMass Lowell","2","0","0","0","0","0","0","0","0","0","0","0","90.2458","0.334674","0","1.34037","2.51714","-1.17678","-0.460929","2.6","-2.17191","1.71098","0","0.6","0.6","0.4","0","0","1","","12.4791"
"5","Kenny Cooper","Lipscomb","ASun","34","66","100.6","22.5","49.7","51.84","2.7","11.6","28.8","21.2","56","88","0.636","97","204","0.475","31","85","0.365","0.8","3.6","30.4","Jr","6-0","21","1.60688","104.498","3.5","2019","45823","all","Western Kentucky","1.96338572306612","76","145","21","59","0.524137931034483","0.355932203389831","0","0","0","0","0","94.5649","3.29053","0","3.37951","1.1398","2.23971","2.6203","26.5833","-0.138663","2.75896","0.5833","2.9167","3.5","4.4722","1.9722","0.1944","9.8056","","4.94625"
"6","Axel Okongo","Missouri","SEC","8","2.4","117.7","6.8","100","84.75","3.9","4","0","29.1","1","2","0.5","2","2","1","0","0","0","4.2","0","100","Jr","7-0","15","0.20881","101.388","8","2020","71347","all","Eastern Michigan","0","2","2","0","0","1","0","1","1","1","0","0","98.2521","0.37852","0","-1.10437","-1.77198","0.667615","-2.76734","3.75","-3.3409","0.573553","0.125","0.125","0.25","0","0","0.125","0.625","","0"
"7","Sean East II","Massachusetts","A10","31","69.8","95.6","23.7","44.7","48.58","2.8","7.7","36.1","23.2","50","64","0.781","80","185","0.432","26","81","0.321","0.1","2.3","24.1","Fr","6-3","10","1.73817","103.272","3.1","2020","71284","all","Bradley","1.84339284380369","56","112","24","73","0.5","0.328767123287671","0","0","0","0","0","103.21","2.33918","0","-1.66621","0.0689111","-1.73512","-1.54479","28.1613","-0.199681","-1.34511","0.6774","1.8065","2.4839","4.9355","1.0968","0.0323","9.2903","","5.37938"
"8","P.J. Horne","Virginia Tech","ACC","32","68.5","100.5","14","55.6","55.9","3.2","13.9","2.5","14","13","22","0.591","47","77","0.61","45","129","0.349","2.9","1.5","10.7","Jr","6-6","14","0.91907","95.0005","3.2","2020","50476","all","Georgia","0.379386448907526","31","42","16","35","0.738095238095238","0.457142857142857","6","7","0.857142857142857","0","0","95.7932","3.00167","0","1.12223","-0.706223","1.82845","0.447648","28.0625","-0.829172","1.27682","0.7812","3.375","4.1562","0.3438","0.7188","0.6562","7.5625","","8.74914"
"9","Chevez Goodwin","Wofford","SC","33","54.1","115.3","27","63.8","62.04","14.1","22.9","10","14.6","59","116","0.509","166","259","0.641","0","1","0","6.6","0.8","44.6","Jr","6-9","1","2.93012","124.375","5.4","2020","46358","all","USC","0.581837851597302","116","172","44","79","0.674418604651163","0.556962025316456","33","33","1","0","0","100.164","2.04012","0","3.80722","1.93412","1.8731","3.49943","21.7714","3.23909","0.260337","2.3714","3.8286","6.2","0.9143","0.3429","1.0857","11.8857","","0.0836769"
"10","Ben Coupet Jr.","UNLV","MWC","9","3","85.3","22.4","40","48.78","5.7","30","5","27.2","5","7","0.714","4","5","0.8","0","5","0","8.3","3.1","70","So","6-7","2","-0.0122062","86.6136","7.4","2019","45818","all","Little Rock","0.25","4","5","0","0","0.8","0","0","0","0","0","0","93.0014","0.526817","0","-1.51061","-5.50664","3.99602","-3.59134","4.2222","-6.30825","2.71691","0.2222","1.1111","1.3333","0.1111","0.2222","0.3333","1.4444","","7.72896"
"11","Dimencio Vaughn","Rider","MAAC","30","79","107.4","22.8","54","56.99","5.8","17.3","13","16.9","96","142","0.676","122","234","0.521","35","89","0.393","3.1","3.2","44","Jr","6-5","14","2.64102","109.427","3.2","2020","46569","all","Mississippi","0.863636363636364","100","178","22","56","0.561797752808989","0.392857142857143","18","25","0.72","0","0","96.8138","3.34737","0","4.45378","1.77773","2.67605","4.95084","31.6","2.89805","2.05279","1.6333","4.9333","6.5667","1.9","1.8","0.8","14.8333","","5.20401"
"12","Joshua Tomaic","Maryland","B10","16","5.7","146.2","8.6","72.7","69.77","6.3","6.1","0","0","2","4","0.5","8","9","0.889","0","2","0","1.5","0","36.4","Jr","6-10","0","0.704485","131.092","6.8","2020","47102","all","San Diego St.","0","7","7","1","2","1","0.5","0","0","0","0","0","95.9522","0.483329","0","0.61878","2.0322","-1.41342","0.82536","4.4375","-0.439676","1.26504","0.25","0.25","0.5","0","0","0.0625","1.125","","1.67538"
"13","Sammy Friday IV","Siena","MAAC","28","23.7","98.1","23","53.7","54.89","13.4","16.6","1.4","21.5","26","46","0.565","44","82","0.537","0","0","0","3.3","1.2","56.1","Sr","6-9","35","0.533084","100.477","5.8","2020","47769","all","Eastern Illinois","0.0833041652082604","38","71","6","11","0.535211267605634","0.545454545454545","6","7","0.857142857142857","0","0","103.516","0.83911","0","-6.03553","-3.17663","-2.85891","-3.1455","10.2857","-1.98303","-1.16247","1.1429","1.4643","2.6071","0.0714","0.2143","0.3214","4.0714","","0"
"14","Quan Jackson","Georgia Southern","SB","31","83.5","93.9","21.8","44.2","47.75","1.7","13.4","8.5","13.1","87","134","0.649","96","212","0.453","46","161","0.286","1.1","4.2","35.9","Jr","6-4","13","1.10893","94.9037","2.5","2020","49268","all","UAB","0.877207201991548","64","107","31","104","0.598130841121495","0.298076923076923","14","15","0.933333333333333","0","0","93.9266","3.87491","0","1.62295","-0.332218","1.95516","1.71358","32.9697","-0.989047","2.70262","0.5455","3.9697","4.5152","1.5152","2.6364","0.3636","13.697","","8.4964"
"15","Tyler Bertram","Charlotte","CUSA","13","9.4","38.4","13.3","11.4","15.25","2.4","9.1","4.9","20.4","2","2","1","1","2","0.5","1","20","0.05","0","0.5","9.1","Fr","6-3","30","-1.53323","33.1221","4","2020","68103","all","Binghamton","0.600104004160166","1","1","0","1","1","0","0","0","0","0","0","106.534","0.610924","0","-10.6717","-7.77897","-2.89274","-13.2864","8.4615","-10.9682","-2.31822","0.1538","0.6154","0.7692","0.2308","0.0769","0","0.5385","","10.8354"
"16","Ty Brewer","Southeastern Louisiana","Slnd","28","79.7","100.6","21.5","51.6","53.36","5.9","22.8","6.1","15.5","51","77","0.662","130","254","0.512","31","88","0.352","2","2.3","22.5","So","6-7","25","1.61627","99.9451","3.4","2020","65997","all","East Tennessee St.","0.416688194265048","60","74","70","180","0.810810810810811","0.388888888888889","22","24","0.916666666666667","0","0","104.844","2.48987","0","-0.887121","-0.914643","0.0275212","0.467765","32.1935","0.952528","-0.484763","1.871","5.871","7.7419","0.8065","1.4839","0.5806","14.9355","","5.2372"
