,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,hometown,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, stops, bpm, obpm, dbpm
1,Michael Baer,Iowa,B10,7,0.9,200,3,100,100,0,18.2,0,0,0,0,0,1,1,1,9.3,5.1,0,Jr,7-Jun,0,0.386361,2021,68099,"Bettendorf, IA",Siena,0,0,0,1,1,0,1,0,0,0,0.211983,0,7.02239,-0.432328,7.45472
2,Tyrell Jones,Auburn,SEC,7,7.2,65.2,25.8,31.3,38.72,0,11.9,17.6,37.3,8,12,0.667,3,11,0.273,1.3,2.8,50,So,1-Jun,0,-0.550845,2021,70641,"Chicago, IL",South Alabama,0.57145,1,5,2,6,0.2,0.333333333,0,0,0,1.04431,0,-8.1594,-7.28354,-0.875867
3,Qwanzi Samuels,Florida Gulf Coast,ASun,2,0.8,50.7,35.7,33.3,33.33,0,42.5,0,31.3,0,0,0,1,3,0.333,0,11.2,0,So,8-Jun,11,-0.279657,2021,71733,"District Heights, MD",George Washington,0.499925004,0,1,1,2,0,0.5,0,0,0,0.515676,0,-13.4549,-17.4791,4.02414
4,Jaylon Hall,Wright St.,Horz,22,59.1,102,18.8,57.6,59.71,1,8.7,14.9,27.3,33,47,0.702,36,74,0.486,0.2,1.8,31.1,Jr,5-Jun,0,0.945418,2021,51262,"Houston, TX",Morehead St.,0.981113279,24,39,12,35,0.615384615,0.342857143,6,6,1,2.70748,0,-0.808658,-1.20519,0.396532
5,Bitumba Baruti,East Carolina,Amer,16,54.9,98.6,14.9,46,47.31,5.5,13.4,8.5,9.8,12,21,0.571,24,54,0.444,3.6,2.5,20.8,Sr,7-Jun,20,0.731601,2021,47679,"Lubumbashi, Congo",Florida Atlantic,1.45448926,14,25,10,29,0.56,0.344827586,3,4,0.75,2.71276,0,1.9017,0.0139191,1.88778
6,Onyi Eyisi,Fordham,A10,14,37.5,85.8,14,48.6,50.56,4.3,13.9,0,19,11,20,0.55,17,35,0.486,3.4,1.2,57.1,Jr,9-Jun,30,-0.299325,2021,65528,"Napa Valley, CA",Cal St. Northridge,0,14,27,3,8,0.518518519,0.375,2,2,1,1.3012,0,-5.14976,-5.73256,0.582807
7,Ahmad Rand,Memphis,Amer,3,1.6,37.3,12.2,0,0,18.4,30.4,0,50.2,0,0,0,0,2,0,6.6,3.1,0,Jr,8-Jun,20,-1.14413,2021,72567,"Lincoln, GA",Oregon St.,0,0,1,0,1,0,0,0,0,0,1.05019,0,-5.27301,-6.07899,0.805975
8,Ibrahim Famouke Doumbia,UCF,Amer,5,3.5,52.5,12,12.5,12.5,7.6,25.3,5.6,0,0,0,0,1,4,0.25,3.6,0,0,Jr,7-Jun,14,-0.817008,2021,71773,"Bamako, Mali",Cal St. Fullerton,0,0,1,1,3,0,0.333333333,0,0,0,0.761297,0,-9.70448,-9.60351,-0.100965
9,Kris Monroe,Providence,BE,14,7.8,79.3,16,30,30.27,6.8,6.9,6.6,4.4,1,3,0.333,3,7,0.429,3.8,0.7,12,Jr,8-Jun,2,-0.153525,2021,66287,"Raleigh, NC",North Carolina Central,3.00140056,3,7,0,0,0.428571429,0,0,0,0,0.53932,0,-2.95138,-1.98045,-0.970933
10,Tekorian Smith,Kent St.,MAC,2,0.6,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jr,4-Jun,4,-0.768835,2021,73025,"Memphis, TN",Troy,0,0,0,0,0,0,0,0,0,0,0.0892,0,-14.1401,-9.44736,-4.69279
11,Michael Flowers,South Alabama,SB,24,93.2,107.9,29.1,52,56.68,1.1,12.5,22.1,16.8,104,126,0.825,85,178,0.478,0.4,2.3,32.9,Sr,1-Jun,12,4.3715,2021,52110,"Southfield, MI",Washington St.,1.2143,31,59,54,119,0.525423729,0.453781513,0,0,0,2.40247,0,2.42016,3.99104,-1.57088
12,DeVante' Jones,Coastal Carolina,SB,22,84.3,116.5,24.7,52.7,59.28,5.1,17.4,16.8,16.2,109,126,0.865,98,180,0.544,0.7,4.2,43.3,Jr,1-Jun,3,3.99402,2021,66006,"New Orleans, LA",Michigan,1.271196898,75,123,23,57,0.609756098,0.403508772,0,0,0,3.86054,0,6.82696,4.00852,2.81843
13,Alex Merkviladze,Cal St. Northridge,BW,21,70.4,97,18.3,50.3,51.55,4,24.5,7.5,15.6,24,40,0.6,47,102,0.461,1,0.8,23,Fr,9-Jun,23,0.881801,2021,73797,"Kutaisi, GA",Loyola Marymount,0.687521485,32,62,15,40,0.516129032,0.375,2,2,1,1.68115,0,-2.88047,-0.430459,-2.45001
14,PJ Henry,Hartford,AE,24,43.6,99.7,15.6,47.4,53.92,1.7,9.4,16.8,22.9,26,31,0.839,19,49,0.388,0,2.3,39.7,So,10-May,11,0.372112,2021,71928,"Houston, TX",Texas Southern,1.439953921,6,15,13,34,0.4,0.382352941,0,0,0,1.59987,0,-1.62508,-2.43949,0.814415
15,Keaston Willis,Incarnate Word,Slnd,17,74.8,95.9,30.2,48.8,52.32,1.9,13.2,13.4,15.5,61,87,0.701,68,155,0.439,0.2,1.7,34.4,So,3-Jun,2,2.08713,2021,70544,"Sulpher Springs, TX",Louisiana Tech,0.807692308,34,73,34,82,0.465753425,0.414634146,0,0,0,1.62793,0,-1.73026,1.23729,-2.96756
16,Konstantin Dotsenko,Tarleton St.,WAC,13,52,98.8,21.4,51.4,53.95,0.4,11.3,13.3,13.6,14,17,0.824,24,52,0.462,1,1.4,16.2,So,7-Jun,3,1.19769,2021,73437,"Vorkuta, Russia",Samford,1.166698149,3,7,21,45,0.428571429,0.466666667,0,0,0,1.5502,0,-0.777844,1.03545,-1.81329
17,Justin Brown,South Florida,Amer,21,69,106.7,14.3,48.6,51.94,4.9,8.6,5.4,14.8,22,25,0.88,20,51,0.392,0.4,1,17.1,Sr,6-Jun,13,1.65753,2021,50799,"Atlanta, GA",UAB,0.857202724,4,12,16,39,0.333333333,0.41025641,0,0,0,2.06396,0,0.884832,1.29004,-0.405207
18,Demetric Horton,Fort Wayne,Horz,23,52.9,99.4,22.8,55.4,56.44,2,14.4,15.3,22.5,14,19,0.737,38,68,0.559,1.5,3.3,10.7,Jr,5-Jun,25,0.927711,2021,73189,"Raleigh, NC",North Carolina A&T,0.866700741,25,41,13,27,0.609756098,0.481481481,3,3,1,1.41654,0,-0.421217,0.393841,-0.815058
19,Jack Hoiberg,Michigan St.,B10,14,3.9,59.4,20.7,15.4,21.44,2.6,5.1,19.8,12.8,3,7,0.429,2,7,0.286,0,0,53.8,Jr,11-May,10,-0.24381,2021,65987,"Burr Ridge, IL",UT Arlington,2.498950315,1,2,1,5,0.5,0.2,0,0,0,0.246858,0,-10.7829,-7.32985,-3.45305
20,Aidan Igiehon,Louisville,ACC,5,5.1,115,15.7,71.4,60.19,11.2,10.8,0,9.4,3,8,0.375,5,7,0.714,2.9,1.5,114.3,So,10-Jun,22,0.731799,2021,70937,"Dublin, Ireland",Grand Canyon,0,4,5,1,2,0.8,0.5,3,4,0.75,0.897331,0,-2.31444,-3.88597,1.57154
21,James Scott,Portland St.,BSky,18,75.9,92.7,30.3,45.1,47.95,5.2,14.6,23,19.2,55,90,0.611,71,169,0.42,0.2,3,36.9,Sr,5-Jun,2,1.71455,2021,45828,"Union, NJ",Eastern Michigan,0.865670662,35,69,36,100,0.507246377,0.36,1,1,1,3.05488,0,1.78592,1.47596,0.309963
22,Bryce Thompson,Kansas,B12,19,27.4,81.4,17.9,37.8,39.93,1.7,8.9,12,19.2,9,13,0.692,25,62,0.403,1,0.9,13.8,Fr,5-Jun,24,-0.109112,2021,72536,"Tulsa, OK",Oklahoma St.,1.047619048,10,20,15,42,0.5,0.357142857,1,2,0.5,1.8239,0,-4.53149,-4.60027,0.0687789
23,Quinton Mincey,Mount St. Mary's,NEC,3,0.5,57.4,11.2,0,0,0,0,35.3,0,0,0,0,0,1,0,0,0,0,Fr,6-Jun,5,-0.201486,2021,73820,"Upper Marlboro, MD",UMass Lowell,0,0,0,0,1,0,0,0,0,0,0.136196,0,-5.50005,-4.34642,-1.15363
24,Daniel Akin,UMBC,AE,16,45.1,106.7,19.4,57.9,56.92,9.8,21.8,6.3,15.7,38,73,0.521,44,76,0.579,3.9,1,96.1,Sr,9-Jun,30,1.51546,2021,50718,"London, England",Cal Baptist,0.578947368,43,72,1,4,0.597222222,0.25,4,4,1,2.53131,0,0.295294,-0.597077,0.892371
25,Marcus Larsson,Incarnate Word,Slnd,12,36.1,90.1,20.2,45.5,49.47,4.4,32.7,8.3,19.3,17,23,0.739,35,75,0.467,3.1,1.5,29.9,So,11-Jun,15,0.131281,2021,71376,"Oslo, Norway",Illinois Chicago,0.500028847,26,42,9,33,0.619047619,0.272727273,4,4,1,1.90705,0,-3.14433,-3.02833,-0.116001
