,player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,year,pid,hometown,new school, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), dporpag, stops, bpm, obpm, dbpm,New Conf
1,Caleb Stone-Carrawell,Austin Peay,ASun,12,23.3,95.2,20.4,43.9,49.14,2.6,4.6,17.3,18.2,18,22,0.818,19,44,0.432,1.3,1.6,29.7,So,7-Jun,3,0.543027,2023,71964,"Concord, NC",Utah Valley,1.304376182,9,14,10,30,0.642857143,0.333333333,0,0,0,1.12921,0,-5.63122,-2.37496,-3.25626,WAC
2,Ogheneyole Akuwovo,Binghamton,AE,18,21.4,113.2,17.5,58.5,54.99,17.3,21.6,4.7,12.2,13,32,0.406,31,53,0.585,1.3,1.2,60.4,Sr,9-Jun,21,0.887073,2023,66550,"Delta State, Nigeria",Fordham,0.6,29,43,2,10,0.674418605,0.2,0,0,0,1.04289,0,-2.55693,-0.105304,-2.45163,A10
3,Marquise Kennedy,Loyola Chicago,A10,29,55.7,93.5,19.6,50.8,53.1,4,12.9,12.9,23,33,49,0.673,58,116,0.5,1.2,2.7,26.9,Sr,1-Jun,12,0.5512,2023,70734,"Chicago, IL",Illinois Chicago,0.830159772,33,52,25,64,0.634615385,0.390625,2,2,1,1.96247,0,-0.786709,-1.18981,0.403105,MVC
4,Yuto Yamanouchi-Williams,Lamar,Slnd,25,49.4,96.9,19.9,40.3,46.94,14.3,23.6,1.5,16.5,50,66,0.758,59,143,0.413,4.1,0.5,42.9,Fr,10-Jun,15,0.417329,2023,77144,"Aizuwakamatsu, Japan",Portland,0.235279585,46,96,13,47,0.479166667,0.276595745,4,7,0.571428571,1.367,0,-8.92049,-4.87623,-4.04426,WCC
5,Eddie Turner III,Columbia,Ivy,9,20.2,87.5,25.8,44.4,45.98,0,6.8,26,20.5,10,17,0.588,28,62,0.452,0.6,2.5,21.3,Jr,2-Jun,14,0.291675,2022,71916,"Seattle, WA",Montana St.,1.263180333,12,22,16,40,0.545454545,0.4,0,0,0,0.973436,0,-8.70651,-3.97428,-4.73223,BSky
6,Shammah Scott,Wichita St.,Amer,25,22.7,88.6,15.5,40.3,43,1.6,9.3,12.2,18.1,8,10,0.8,14,44,0.318,0,1.8,13.9,So,2-Jun,22,-0.124611,2023,76968,"Cleveland, OH",Akron,1.428571429,6,20,8,24,0.3,0.333333333,0,0,0,1.07328,0,-3.16562,-2.45169,-0.713928,MAC
7,Steele Venters,Eastern Washington,BSky,33,79.8,107.2,22.6,54.8,57.81,1.9,8.3,9,16,68,81,0.84,102,189,0.54,1.6,1.4,20.6,So,7-Jun,2,2.48114,2023,70941,"Ellensburg, WA",Gonzaga,0.769222722,44,77,58,112,0.571428571,0.517857143,7,7,1,2.31757,0,-0.599822,1.32878,-1.92861,WCC
8,Dontrez Styles,North Carolina,ACC,15,6.7,90.9,14.7,44.7,48.05,4.9,12.3,3.9,21.7,4,6,0.667,4,10,0.4,1.1,0.6,31.6,So,6-Jun,3,-0.0185229,2023,74530,"Kinston, NC",Georgetown,0.399939994,3,3,1,7,1,0.142857143,3,3,1,0.573368,0,-2.85663,-2.62351,-0.233124,BE
9,Jamir Watkins,VCU,A10,35,58.9,99.8,23.2,48.1,52.73,5.4,21.8,12.8,18.6,80,111,0.721,73,158,0.462,3.1,2.9,42,So,7-Jun,0,1.48715,2023,73872,"Trenton, NJ",Florida St.,0.836020426,60,127,13,31,0.472440945,0.419354839,17,21,0.80952381,3.43098,0,3.9103,0.0802643,3.83003,ACC
10,Rodrique Massenat,Austin Peay,ASun,16,25.2,100.8,13.3,50.8,50.97,3.6,8,6.7,12.9,5,10,0.5,17,30,0.567,2,3.9,16.7,Jr,5-Jun,11,0.102286,2023,77586,"Trenton, NJ",Alcorn St.,1.125,12,17,5,13,0.705882353,0.384615385,0,0,0,1.2621,0,-0.372285,-1.20074,0.828451,SWAC
11,Jamari Sibley,UTEP,CUSA,29,36.2,88.8,13.7,41.4,42.27,5,10.4,3.1,15.4,6,10,0.6,26,63,0.413,3.3,1.3,9.1,So,8-Jun,12,-0.303589,2023,72409,"Milwaukee, WI",Southern Utah,0.588256747,14,22,12,41,0.636363636,0.292682927,7,8,0.875,1.43629,0,-1.84946,-2.78394,0.934483,WAC
12,Jesse Edwards,Syracuse,ACC,32,80.8,117.8,21.8,59.4,62.48,11.6,23.8,9.2,16.5,102,140,0.729,179,303,0.591,10.3,2.4,46.1,Sr,11-Jun,14,3.93392,2023,71748,"Amsterdam, Netherlands",West Virginia,0.75,147,217,32,86,0.677419355,0.372093023,62,71,0.873239437,3.90101,0,7.76839,2.44117,5.32722,B12
13,Jacob Germany,UTSA,CUSA,28,62.7,95.6,26.9,44.9,49.8,10.3,25.3,8.6,18.4,79,106,0.745,131,288,0.455,3.1,0.9,36.3,Sr,11-Jun,24,1.66563,2023,70986,"Kingston, OK",Wichita St.,0.376826087,65,114,66,174,0.570175439,0.379310345,8,9,0.888888889,2.16232,0,-2.89774,-2.72293,-0.174813,Amer
